Count      N          d          Go Home   
14     20         7          89        
28     20         7          61        
14     20         7          99        
21     20         7          90        
21     20         7          88        
14     20         7          78        
21     20         7          83        
35     20         7          69        
21     20         7          68        
35     20         7          96        
42     20         7          99        
28     20         7          113       
7     20         7          78        
14     20         7          80        
18     20         9          96        
9     20         9          106       
45     20         9          118       
45     20         9          89        
36     20         9          94        
36     20         9          118       
27     20         9          62        
9     20         9          91        
27     20         9          81        
36     20         9          120       
27     20         9          136       
18     20         9          159       
27     20         9          80        
36     20         9          101       
54     20         9          76        
45     20         9          84        
45     20         9          124       
36     20         9          98        
27     20         9          82        
36     20         9          95        
36     20         9          60        
18     20         9          60        
45     20         9          87        
36     20         9          82        
36     20         9          96        
27     20         9          108       
36     20         9          115       
27     20         9          102       
18     20         9          90        
18     20         9          91        
27     20         9          146       
45     20         9          73        
9     20         9          89        
45     20         9          112       
36     20         9          136       
27     20         9          104       
36     20         9          69        
45     20         9          113       
45     20         9          120       
27     20         9          74        
27     20         9          126       
45     20         9          101       
45     20         9          115       
45     20         9          70        
18     20         9          101       
18     20         9          121       
45     20         9          84        
45     20         9          86        
18     20         9          83        
27     20         9          79        
27     20         9          112       
36     20         9          70        
18     20         9          99        
36     20         9          84        
18     20         9          105       
9     20         9          103       
54     20         9          159       
36     20         9          69        
18     20         9          120       
36     20         9          76        
18     20         9          114       
27     20         9          103       
27     20         9          74        
27     20         9          106       
45     20         9          155       
9     20         9          118       
9     20         9          90        
18     20         9          80        
27     20         9          109       
18     20         9          136       
27     20         9          92        
18     20         9          90        
45     20         9          114       
18     20         9          89        
36     20         9          119       
45     20         9          84        
27     20         9          86        
36     20         9          110       
27     20         9          98        
18     20         9          126       
45     20         9          76        
36     20         9          74        
45     20         9          70        
36     20         9          95        
18     20         9          91        
9     20         9          89        
36     20         9          74        
9     20         9          75        
18     20         9          115       
18     20         9          84        
45     20         9          57        
27     20         9          101       
27     20         9          108       
36     20         9          93        
45     20         9          90        
45     20         9          73        
27     20         9          120       
18     20         9          122       
45     20         9          90        
27     20         9          77        
11     20         11         117       
33     20         11         67        
55     20         11         103       
55     20         11         67        
33     20         11         79        
44     20         11         90        
66     20         11         106       
44     20         11         114       
22     20         11         81        
22     20         11         94        
33     20         11         82        
22     20         11         89        
33     20         11         77        
44     20         11         78        
44     20         11         70        
44     20         11         113       
22     20         11         55        
33     20         11         90        
22     20         11         100       
22     20         11         113       
44     20         11         92        
11     20         11         97        
11     20         11         103       
33     20         11         57        
33     20         11         84        
55     20         11         120       
55     20         11         88        
11     20         11         83        
